,Date,Close,Volume
0,2000-01-03,11357.509766,169750000
1,2000-01-04,10997.929688,178420000
2,2000-01-05,11122.650391,203190000
3,2000-01-06,11253.259766,176550000
4,2000-01-07,11522.55957,184900000
5,2000-01-10,11572.200195,168180000
6,2000-01-11,11511.080078,177300000
7,2000-01-12,11551.099609,194060000
8,2000-01-13,11582.429688,174910000
9,2000-01-14,11722.980469,266830000
10,2000-01-18,11560.719727,200220000
11,2000-01-19,11489.360352,193090000
12,2000-01-20,11351.299805,191230000
13,2000-01-21,11251.709961,205840000
14,2000-01-24,11008.169922,202740000
15,2000-01-25,11029.889648,209230000
16,2000-01-26,11032.990234,188840000
17,2000-01-27,11028.019531,194280000
18,2000-01-28,10738.870117,183090000
19,2000-01-31,10940.530273,191880000
20,2000-02-01,11041.049805,183110000
21,2000-02-02,11003.200195,164170000
22,2000-02-03,11013.44043,178630000
23,2000-02-04,10963.799805,166590000
24,2000-02-07,10905.790039,145660000
25,2000-02-08,10957.599609,168890000
26,2000-02-09,10699.160156,168550000
27,2000-02-10,10643.629883,156390000
28,2000-02-11,10425.209961,193540000
29,2000-02-14,10519.839844,167240000
30,2000-02-15,10718.089844,183320000
31,2000-02-16,10561.410156,163280000
32,2000-02-17,10514.570313,195830000
33,2000-02-18,10219.519531,208930000
34,2000-02-22,10304.839844,194340000
35,2000-02-23,10225.730469,185280000
36,2000-02-24,10092.629883,237540000
37,2000-02-25,9862.120117,195240000
38,2000-02-28,10038.650391,213230000
39,2000-02-29,10128.30957,191360000
40,2000-03-01,10137.929688,216780000
41,2000-03-02,10164.919922,206510000
42,2000-03-03,10367.200195,210460000
43,2000-03-06,10170.5,172590000
44,2000-03-07,9796.030273,278180000
45,2000-03-08,9856.530273,223310000
46,2000-03-09,10010.730469,187360000
47,2000-03-10,9928.820313,197440000
48,2000-03-13,9947.129883,186210000
49,2000-03-14,9811.240234,186080000
50,2000-03-15,10131.410156,204920000
51,2000-03-16,10630.599609,253790000
52,2000-03-17,10595.230469,247830000
53,2000-03-20,10680.240234,177730000
54,2000-03-21,10907.339844,211950000
55,2000-03-22,10866.700195,195830000
56,2000-03-23,11119.860352,224710000
57,2000-03-24,11112.719727,217140000
58,2000-03-27,11025.849609,184880000
59,2000-03-28,10936.110352,177780000
60,2000-03-29,11018.719727,199370000
61,2000-03-30,10980.25,214190000
62,2000-03-31,10921.919922,179590000
63,2000-04-03,11221.929688,279950000
64,2000-04-04,11164.839844,319280000
65,2000-04-05,11033.919922,189310000
66,2000-04-06,11114.269531,161820000
67,2000-04-07,11111.480469,156500000
68,2000-04-10,11186.55957,150070000
69,2000-04-11,11287.080078,171130000
70,2000-04-12,11125.129883,234780000
71,2000-04-13,10923.549805,200240000
72,2000-04-14,10305.769531,267580000
73,2000-04-17,10582.509766,247520000
74,2000-04-18,10767.419922,218380000
75,2000-04-19,10674.959961,193860000
76,2000-04-20,10844.049805,158390000
77,2000-04-24,10906.099609,295330000
78,2000-04-25,11124.820313,240200000
79,2000-04-26,10945.5,198970000
80,2000-04-27,10888.099609,192920000
81,2000-04-28,10733.910156,173520000
82,2000-05-01,10811.780273,174020000
83,2000-05-02,10731.120117,208610000
84,2000-05-03,10480.129883,200220000
85,2000-05-04,10412.490234,169170000
86,2000-05-05,10577.860352,138300000
87,2000-05-08,10603.629883,144180000
88,2000-05-09,10536.75,166320000
89,2000-05-10,10367.780273,225970000
