idx,RSI
541,86.33
542,72.06
543,82.15
544,76.14
545,72.82
546,76.28
547,76.5
548,68.64
549,59.11
550,51.49
551,62.84
552,56.37
553,47.89
554,41.39
555,33.36
556,24.08
557,37.98
558,43.33
559,33.3
560,32.67
561,23.73
562,24.46
563,29.91
564,36.85
565,46.53
566,33.5
567,45.8
568,34.19
569,37.62
570,35.18
571,56.17
572,49.18
573,46.13
574,50.45
575,46.26
576,32.61
577,39.51
578,38.61
579,37.14
580,9.5
581,28.56
582,40.13
583,38.5
584,40.5
585,33.15
586,37.95
587,54.83
588,55.84
589,55.5
590,57.2
591,59.86
592,56.16
593,61.85
594,75.76
595,67.04
596,48.14
597,56.55
598,65.69
599,49.67
600,29.07
601,28.91
602,24.0
603,18.34
604,16.15
605,18.62
606,25.01
607,14.65
608,16.13
609,25.73
610,23.38
611,32.74
612,27.83
613,34.62
614,49.98
615,44.77
616,46.24
617,41.55
618,31.46
619,37.69
620,25.72
621,28.8
622,40.02
623,23.47
624,18.68
625,19.55
626,27.22
627,56.46
628,49.67
629,48.57
630,38.64
631,30.68
632,28.55
633,30.62
634,29.09
635,30.29
636,6.26
637,4.97
638,4.78
639,5.55
640,32.33
641,34.57
642,38.63
643,56.19
644,53.64
645,59.01
646,64.73
647,66.38
648,59.48
649,52.68
650,57.85
651,61.8
652,51.13
653,50.29
654,42.33
655,57.01
656,66.08
657,77.39
658,77.09
659,66.51
660,61.26
661,63.38
662,57.21
663,69.57
664,54.27
665,43.83
666,44.58
667,29.09
668,22.33
669,24.69
670,14.88
671,28.95
672,31.92
673,39.86
674,44.27
675,37.47
676,35.66
677,53.86
678,39.02
679,43.71
680,25.03
681,21.08
682,11.66
683,9.92
684,25.05
685,36.47
686,25.65
687,26.87
688,42.89
689,44.15
690,41.55
691,39.68
692,41.77
693,38.67
694,27.24
695,44.47
696,57.51
697,47.81
698,65.67
699,58.97
700,70.43
701,75.42
702,77.19
703,82.71
704,80.47
705,66.26
706,68.44
707,54.55
708,66.4
709,59.13
710,54.57
711,48.57
712,58.83
713,62.26
714,84.04
715,59.82
716,62.12
717,49.43
718,47.55
719,50.09
720,51.44
721,50.45
722,38.27
723,29.89
724,52.63
725,67.64
726,80.33
727,80.78
728,65.22
729,69.01
730,65.49
731,69.49
732,62.5
733,56.18
734,36.5
735,40.1
736,29.82
737,44.06
738,22.33
739,21.8
740,19.6
741,42.59
742,38.31
743,39.52
744,34.39
745,52.17
746,44.88
747,41.42
748,43.27
749,41.98
750,27.19
751,32.78
752,60.82
753,67.85
754,69.03
755,67.57
756,59.15
757,67.72
758,78.32
759,77.59
760,78.82
761,58.0
762,56.48
763,36.29
764,31.21
765,32.07
766,18.28
767,12.46
768,10.62
769,14.24
770,17.98
771,15.68
772,25.64
773,33.45
774,34.39
775,29.9
776,36.96
777,41.01
778,37.09
779,31.12
780,35.12
781,21.2
782,34.06
783,52.09
784,51.14
785,48.99
786,60.3
787,46.36
788,54.02
789,52.9
790,57.41
791,48.83
792,35.06
793,30.87
794,40.81
795,27.25
796,41.08
797,28.21
798,30.48
799,25.33
800,46.31
801,51.18
802,70.38
803,69.86
804,78.9
805,77.93
806,95.77
807,76.46
808,77.11
809,68.16
810,65.34
811,50.22
812,39.78
813,40.17
