idx,RSI
541,72.5
542,72.64
543,59.32
544,68.2
545,54.83
546,54.47
547,56.83
548,39.76
549,40.4
550,43.27
551,37.07
552,46.15
553,36.12
554,41.84
555,37.36
556,57.46
557,67.5
558,78.67
559,80.06
560,76.26
561,76.68
562,88.1
563,72.53
564,72.53
565,63.02
566,58.64
567,42.26
568,28.35
569,31.77
570,45.33
571,41.36
572,50.0
573,43.83
574,41.41
575,36.29
576,44.87
577,53.39
578,59.92
579,48.76
580,44.67
581,65.28
582,65.44
583,70.98
584,88.89
585,83.02
586,73.95
587,74.27
588,73.95
589,70.68
590,64.73
591,71.37
592,65.9
593,67.26
594,63.07
595,63.6
596,64.78
597,66.67
598,68.24
599,64.94
600,60.89
601,57.56
602,36.95
603,42.45
604,48.96
605,43.84
606,34.22
607,37.78
608,58.5
609,54.74
610,59.91
611,96.7
612,87.89
613,91.75
614,92.38
615,92.95
616,78.85
617,60.87
618,65.38
619,67.86
620,63.71
621,55.83
622,62.46
623,54.0
624,53.22
625,53.4
626,63.84
627,47.08
628,39.13
629,36.38
630,53.1
631,35.5
632,38.16
633,43.01
634,58.41
635,47.09
636,72.35
637,78.63
638,79.94
639,65.72
640,73.1
641,75.4
642,72.06
643,65.76
644,57.74
645,38.53
646,25.74
647,37.45
648,50.2
649,39.7
650,43.31
651,44.95
652,42.86
653,53.97
654,57.85
655,60.4
656,51.42
657,30.34
658,34.51
659,21.23
660,17.41
661,27.63
662,41.2
663,33.78
664,39.22
665,44.95
666,88.59
667,91.51
668,88.46
669,97.25
670,89.1
671,86.86
672,87.01
673,88.21
674,88.5
675,85.26
676,83.57
677,89.44
678,85.29
679,97.95
680,86.88
681,89.55
682,74.41
683,52.55
684,53.99
685,53.82
686,44.02
687,56.71
688,50.96
689,59.7
690,55.73
691,48.3
692,65.37
693,46.3
694,40.65
695,41.23
696,38.15
697,34.0
698,35.99
699,35.44
700,52.41
701,49.42
702,66.76
703,70.46
704,76.36
705,74.26
706,93.1
707,91.71
708,85.14
709,80.47
710,53.21
711,56.96
712,64.26
713,47.94
714,37.41
715,33.84
716,31.76
717,52.11
718,47.92
719,62.25
720,52.89
721,57.77
722,68.08
723,83.5
724,84.21
725,73.93
726,46.02
727,44.51
728,57.56
729,59.57
730,38.15
731,36.4
732,24.01
733,27.36
734,27.53
735,37.9
736,51.06
737,41.38
738,44.21
739,54.98
740,62.2
741,87.16
742,78.85
743,75.58
744,75.35
745,47.06
746,51.5
747,35.57
748,37.31
749,48.25
750,40.93
751,38.08
752,43.91
753,37.96
754,58.43
755,56.01
756,77.53
757,78.84
758,70.15
759,70.15
760,97.96
761,98.03
762,90.06
763,82.41
764,88.49
765,89.44
766,89.62
767,90.82
768,84.3
769,84.02
770,72.31
771,78.14
772,79.1
773,76.5
774,74.37
775,70.69
776,60.13
777,57.93
778,40.5
779,69.7
780,40.44
781,31.49
782,25.12
783,24.11
784,22.88
785,23.68
786,21.51
787,24.51
788,27.61
789,37.0
790,52.26
791,57.47
792,52.91
793,49.5
794,52.2
795,73.54
796,73.26
797,46.63
798,44.39
799,35.68
800,24.21
801,34.43
802,42.42
803,37.95
804,39.77
805,30.81
806,35.67
807,46.81
808,54.66
809,38.6
810,32.87
811,25.6
812,24.15
813,28.21
814,26.87
815,28.88
816,33.67
817,32.89
818,41.07
819,32.79
820,34.97
821,44.37
822,48.58
823,55.2
824,61.66
825,56.29
826,56.69
827,64.04
828,86.17
829,93.38
830,81.1
831,75.69
832,78.46
833,75.23
834,61.85
835,66.67
836,49.08
837,29.76
838,32.08
839,28.57
840,33.85
841,48.32
842,50.15
843,54.14
844,50.32
845,50.65
846,44.96
847,32.01
848,43.11
849,40.81
850,31.16
851,21.17
852,20.49
853,19.73
854,35.11
855,43.03
856,53.3
857,42.49
858,34.6
859,33.65
860,37.63
861,47.67
862,57.93
863,51.41
864,64.06
865,73.96
866,84.18
867,97.63
868,97.3
869,100.0
870,95.04
871,69.94
872,71.27
873,73.2
874,70.79
875,52.28
876,56.88
877,56.48
878,47.06
879,55.24
880,63.97
881,53.25
882,32.41
883,31.8
884,54.2
885,57.12
886,55.49
887,72.85
888,57.28
889,64.96
890,78.03
891,65.19
892,61.9
893,54.29
894,32.52
895,33.61
896,22.98
897,27.71
898,16.44
899,4.69
900,5.36
901,5.42
902,4.04
903,6.02
904,36.55
905,29.03
906,36.92
907,32.39
908,31.4
909,41.44
910,41.32
911,51.2
912,52.27
913,42.55
914,46.8
915,37.56
916,38.46
917,29.52
918,21.07
919,31.56
920,20.0
921,16.9
922,16.01
923,26.94
924,35.38
925,52.75
926,67.92
927,70.43
928,66.99
929,74.74
930,93.58
931,86.67
932,86.17
933,64.18
934,55.28
935,63.64
936,66.85
937,51.6
938,53.51
939,47.0
940,48.7
941,50.5
942,73.37
943,76.86
944,75.58
945,59.33
946,76.92
947,73.61
948,76.55
949,80.58
950,59.62
951,47.59
952,30.7
953,24.05
954,32.07
955,47.09
956,49.12
957,61.06
958,62.23
959,79.69
960,82.94
961,74.79
962,66.79
963,68.01
964,60.26
965,58.3
966,34.71
967,33.13
968,44.5
969,33.5
970,44.44
971,73.26
972,50.45
973,48.07
974,52.65
975,66.12
976,67.09
977,62.13
978,67.98
979,67.98
980,64.32
981,90.4
982,100.0
983,100.0
984,91.96
985,83.0
986,87.5
987,89.51
988,89.7
989,79.5
990,82.16
991,80.59
992,62.39
993,69.07
994,70.56
995,68.95
996,67.46
997,56.31
998,58.14
999,61.86
1000,62.66
1001,77.44
1002,75.82
1003,60.0
1004,58.93
1005,56.81
1006,66.49
1007,73.91
1008,65.16
1009,57.55
1010,50.0
1011,42.94
1012,60.0
1013,61.74
1014,58.88
1015,59.26
1016,43.37
1017,53.92
1018,59.62
1019,68.13
1020,74.75
1021,61.17
1022,26.9
1023,21.79
1024,18.99
1025,23.24
1026,11.25
1027,6.43
1028,16.29
1029,13.15
1030,25.0
