idx,RSI
541,81.76
542,73.14
543,89.47
544,83.86
545,81.48
546,82.33
547,79.87
548,73.32
549,63.71
550,58.98
551,65.77
552,57.57
553,45.47
554,40.73
555,33.36
556,26.88
557,38.54
558,44.21
559,35.05
560,34.92
561,25.36
562,28.31
563,27.36
564,27.95
565,42.63
566,27.26
567,36.45
568,21.27
569,28.47
570,28.93
571,51.55
572,49.86
573,50.92
574,49.94
575,45.16
576,34.82
577,43.26
578,36.54
579,33.46
580,1.09
581,16.56
582,26.66
583,25.43
584,27.49
585,23.26
586,24.52
587,48.93
588,48.67
589,46.01
590,49.15
591,53.55
592,52.08
593,58.11
594,69.2
595,63.95
596,46.4
597,55.66
598,69.5
599,54.56
600,37.11
601,36.83
602,30.18
603,24.97
604,21.73
605,25.06
606,27.88
607,12.81
608,14.68
609,20.25
610,17.78
611,24.64
612,19.94
613,26.67
614,47.75
615,43.08
616,44.83
617,39.46
618,31.86
619,39.67
620,30.13
621,32.5
622,42.94
623,24.16
624,18.83
625,18.26
626,25.21
627,49.96
628,44.03
629,41.64
630,34.32
631,30.1
632,29.15
633,32.68
634,33.49
635,33.12
636,9.13
637,7.83
638,7.64
639,8.18
640,27.39
641,27.57
642,33.32
643,49.56
644,49.27
645,57.25
646,59.21
647,61.5
648,59.2
649,54.49
650,59.91
651,62.73
652,52.96
653,50.31
654,42.19
655,59.5
656,68.95
657,82.25
658,81.87
659,71.82
660,67.95
661,70.41
662,62.4
663,73.28
664,56.63
665,44.88
666,45.41
667,32.57
668,26.07
669,28.07
670,17.49
671,30.67
672,31.77
673,39.2
674,45.79
675,37.39
676,39.38
677,57.52
678,38.85
679,43.86
680,21.98
681,15.46
682,7.08
683,6.1
684,26.49
685,34.56
686,27.11
687,28.22
688,43.36
689,45.06
690,41.89
691,40.24
692,40.03
693,37.43
694,27.0
695,43.09
696,55.3
697,48.01
698,64.64
699,60.56
700,70.13
701,76.76
702,77.01
703,82.4
704,79.97
705,67.34
706,69.37
707,53.98
708,61.12
709,56.47
710,50.77
711,50.7
712,60.53
713,61.01
714,75.11
715,52.84
716,52.54
717,46.99
718,46.01
719,48.26
720,51.67
721,50.76
722,42.48
723,35.8
724,56.29
725,68.92
726,80.96
727,79.94
728,65.01
729,66.27
730,62.81
731,67.87
732,61.35
733,51.87
734,33.6
735,39.28
736,30.23
737,45.4
738,26.18
739,25.89
740,22.64
741,44.22
742,42.22
743,41.84
744,35.39
745,52.16
746,45.36
747,42.25
748,42.55
749,41.43
750,26.24
751,30.12
752,61.84
753,67.59
754,71.29
755,65.48
756,59.63
757,67.97
758,78.6
759,76.47
760,77.72
761,55.91
762,53.71
763,31.43
764,28.31
765,29.67
766,20.84
767,15.15
768,13.37
769,17.7
770,24.49
771,21.25
772,30.8
773,37.64
774,36.69
775,29.92
776,36.85
777,39.28
778,35.57
779,27.79
780,31.45
781,18.13
782,32.59
783,51.92
784,50.98
785,49.35
786,61.02
787,48.18
788,55.07
789,54.78
790,59.83
791,53.57
792,39.47
793,36.3
794,45.7
795,33.9
796,47.44
797,32.25
798,33.91
799,28.53
800,45.42
801,49.2
802,68.11
803,66.88
804,73.98
805,72.69
806,93.37
807,75.08
808,76.39
809,67.18
810,65.91
811,50.41
812,40.68
813,42.28
814,52.15
815,40.86
816,59.54
817,53.86
818,56.51
819,48.31
820,55.35
821,65.85
822,69.08
823,59.31
824,52.9
825,60.38
826,58.45
827,68.55
828,81.37
829,73.03
830,65.91
831,65.59
832,64.63
833,72.45
834,66.38
835,73.34
836,61.55
837,61.66
838,64.41
839,67.93
840,66.3
841,70.77
842,68.79
843,66.43
844,63.05
845,64.23
846,41.28
847,43.35
848,52.29
849,48.8
850,38.92
851,56.64
852,60.28
853,52.32
854,62.76
855,91.67
856,93.93
857,94.88
858,94.53
859,91.03
860,70.36
861,73.53
862,81.37
863,77.57
864,65.47
865,72.41
866,67.26
867,63.99
868,54.12
869,63.45
870,47.96
871,39.65
872,34.52
873,48.15
874,22.59
875,20.86
876,30.17
877,49.28
878,43.17
879,64.64
880,65.36
881,67.49
882,51.8
883,63.74
884,67.53
885,61.4
886,50.23
887,47.47
888,42.23
889,32.41
890,41.82
891,49.94
892,38.32
893,46.85
894,47.59
895,47.06
896,54.04
897,47.59
898,51.16
899,44.86
900,33.05
901,38.46
902,26.77
903,32.53
904,41.3
905,52.47
906,44.89
907,58.97
908,57.11
909,86.53
910,86.81
911,80.5
912,80.27
913,62.56
914,54.15
915,67.06
916,60.19
917,66.58
918,62.61
919,72.24
920,77.99
921,77.37
922,84.14
923,87.12
924,73.38
925,60.28
926,59.96
927,58.14
928,43.48
929,52.34
930,48.51
931,62.3
932,53.48
933,49.76
934,63.73
935,45.61
936,40.86
937,39.63
938,36.11
939,33.17
940,39.07
941,41.68
942,53.8
943,52.93
944,69.61
945,70.2
946,78.28
947,74.22
948,90.04
949,85.9
950,79.97
951,76.65
952,55.62
953,56.08
954,65.11
955,41.83
956,46.03
957,34.06
958,31.52
959,50.02
960,48.38
961,57.47
962,56.1
963,61.52
964,74.62
965,70.26
966,81.74
967,72.75
968,50.41
969,47.98
970,61.83
971,58.5
972,40.38
973,39.55
974,33.67
975,36.09
976,33.72
977,39.36
978,53.83
979,46.24
980,50.03
981,56.73
982,70.85
983,78.21
984,71.79
985,88.09
986,74.3
987,69.16
988,56.02
989,50.61
990,60.71
991,53.88
992,51.31
993,58.73
994,56.05
995,72.92
996,68.23
997,83.94
998,86.82
999,78.52
1000,77.92
1001,94.62
1002,93.67
1003,93.82
1004,80.95
1005,87.79
1006,86.96
1007,86.83
1008,92.31
1009,74.51
1010,69.83
1011,61.44
1012,66.14
1013,71.15
1014,67.7
1015,65.3
1016,69.16
1017,61.2
1018,71.42
1019,75.85
1020,69.11
1021,48.45
1022,51.47
1023,43.34
1024,47.43
1025,40.39
1026,36.83
1027,40.15
1028,40.47
1029,46.33
1030,67.79
1031,71.69
1032,68.34
1033,58.89
1034,65.02
1035,69.33
1036,63.56
1037,51.19
1038,51.03
1039,43.94
1040,34.55
1041,41.26
1042,48.75
1043,48.53
1044,46.27
1045,55.9
1046,65.58
1047,73.75
1048,59.85
1049,46.42
1050,32.08
1051,24.81
1052,27.45
1053,24.57
